Year,District,June,July,Aug,Sep,total,Rainy_Days,Light_Rainfall,moderate,Heavy,Very_Heavy_Rain,Extremely_Heavy_Rain
2016.0,Mancherial,136.0,532.4,42.8,162.6,873.8,,27.0,22.0,2,1,
2016.0,Mancherial,293.2,658.8,251.2,348.0,1551.2,,37.0,15.0,2,0,
2016.0,Nirmal,375.8,430.8,82.4,340.2,1229.2,,27.0,15.0,0,3,
2016.0,Nirmal,653.2,452.4,110.6,266.2,1482.4,,45.0,15.0,5,1,
2016.0,Nirmal,135.0,333.0,156.8,434.0,1058.8,,35.0,20.0,5,1,
2016.0,Nirmal,446.8,477.2,156.4,416.4,1496.8,,38.0,17.0,4,0,
2016.0,Nirmal,135.0,333.0,156.8,434.0,1058.8,,27.0,26.0,2,2,
2016.0,Nirmal,222.8,322.8,173.4,356.6,1075.6,,38.0,17.0,4,0,
2016.0,Nirmal,473.0,411.4,101.8,296.8,1283.0,,31.0,28.0,1,0,
2016.0,Nirmal,435.2,598.8,130.4,346.0,1510.4,,29.0,17.0,6,0,
2016.0,Nirmal,178.6,372.6,191.0,396.0,1138.2,,34.0,20.0,7,0,
2016.0,Nirmal,337.4,437.8,147.0,354.6,1276.8,,38.0,22.0,3,0,
2016.0,Nirmal,157.4,379.8,176.0,361.4,1074.6,,41.0,20.0,1,2,
2016.0,Nirmal,375.8,430.8,82.4,340.2,1229.2,,42.0,17.0,0,2,
2016.0,Nirmal,435.2,598.8,130.4,346.0,1510.4,,45.0,15.0,5,1,
2016.0,Nirmal,370.2,371.0,132.0,406.8,1280.0,,34.0,20.0,7,0,
2016.0,Nirmal,370.2,371.0,132.0,406.8,1280.0,,32.0,21.0,3,1,
2016.0,Nirmal,222.8,322.8,173.4,356.6,1075.6,,32.0,21.0,3,1,
2016.0,Nirmal,329.6,457.6,119.2,309.2,1215.6,,31.0,28.0,1,0,
2016.0,Nirmal,370.2,371.0,132.0,406.8,1280.0,,27.0,19.0,4,0,
2016.0,Nirmal,388.6,444.8,49.4,270.4,1153.2,,32.0,21.0,3,1,
