Year,DMCODE,New_DIST,NEW_MANDAL,June,July,Aug,Sep,total,Rainy Days,No Rain,Light Rainfall,moderate,Heavy,Very Heavy,YEAR,August,September,Rainy Day,Very Light,Light,Moderate,Extremely Heavy,Rainy Days(out of 122)
2015.0,3101,Khammam,Singareni,464.8,97.6,224.2,141.8,928.4,37.0,84,18.0,18.0,1,1,,,,,,,,,
2015.0,3117,Khammam,Thallada,406.6,93.4,109.4,192.0,801.4,40.0,79,27.0,14.0,2,0,,,,,,,,,
2015.0,3105,Khammam,Thirumalayapalem,274.0,30.8,200.2,150.4,655.4,32.0,85,17.0,19.0,1,0,,,,,,,,,
2015.0,3116,Khammam,Vemsoor,251.8,47.4,88.2,106.2,493.6,34.0,82,29.0,10.0,1,0,,,,,,,,,
2015.0,3118,Khammam,Wyra,349.8,80.4,103.6,239.8,773.6,42.0,61,46.0,14.0,1,0,,,,,,,,,
2015.0,3121,Khammam,Yerrupalem,336.4,97.4,204.2,210.0,848.0,37.0,84,22.0,14.0,2,0,,,,,,,,,
2015.0,206,Kumarambheem Asifabad,Asifabad,190.4,182.8,187.4,195.4,756.0,39.0,77,30.0,12.0,3,0,,,,,,,,,
2015.0,213,Kumarambheem Asifabad,Bejjur,432.2,90.4,370.8,155.8,1049.2,40.0,74,32.0,13.0,1,2,,,,,,,,,
2015.0,212,Kumarambheem Asifabad,Chintalamanepally,404.8,141.6,262.0,137.8,946.2,43.0,77,29.0,12.0,4,0,,,,,,,,,
2015.0,215,Kumarambheem Asifabad,Dahegaon,441.4,159.8,176.2,209.6,987.0,42.0,78,28.0,14.0,1,1,,,,,,,,,
2015.0,201,Kumarambheem Asifabad,Jainoor,328.0,274.6,161.0,238.8,1002.4,46.0,72,30.0,16.0,4,0,,,,,,,,,
2015.0,209,Kumarambheem Asifabad,Kagaznagar,226.6,175.0,104.2,160.0,665.8,36.0,77,34.0,8.0,3,0,,,,,,,,,
