Year,DMCODE,New_DIST,NEW_MANDAL,June,July,Aug,Sep,total,Rainy Days,No Rain,Light Rainfall,moderate,Heavy,Very Heavy
2015,807,Jayashankar Bhupalpally,Tekumatla,320.4,161.6,109,165.8,756.8,39,83,25,13,0,1
2015,812,Jayashankar Bhupalpally,Venkatapur,458,195.8,205.6,285.6,1145,43,78,23,18,2,1
2015,819,Jayashankar Bhupalpally,Venkatapuram,547.2,218.4,374.4,167.4,1307.4,50,63,33,22,3,1
2015,818,Jayashankar Bhupalpally,Wazeed,557,193.2,318,167.8,1236,51,67,40,10,4,1
2015,2607,Jogulamba Gadwal,Aiza,27.4,76.6,152.8,25,281.8,19,96,21,5,0,0
2015,2612,Jogulamba Gadwal,Alampur,92.2,89.2,100.8,170.4,452.6,30,90,22,10,0,0
2015,2602,Jogulamba Gadwal,Dharur,34.8,32,74.8,85.6,227.2,19,98,17,7,0,0
2015,2603,Jogulamba Gadwal,Gadwal,51.8,76,120,160.4,408.2,28,92,20,10,0,0
2015,2606,Jogulamba Gadwal,Ghattu,24,56.4,89.2,82.6,252.2,20,98,20,4,0,0
2015,2604,Jogulamba Gadwal,Itikyal,56.8,52.6,186.4,39.6,335.4,20,99,17,5,1,0
2015,2601,Jogulamba Gadwal,Kaloor_Timmanadoddi,24,56.4,89.2,82.6,252.2,20,98,20,4,0,0
2015,2605,Jogulamba Gadwal,Maldakal,29,46.2,146,91,312.2,22,95,19,8,0,0
2015,2610,Jogulamba Gadwal,Manopad,78.2,81,178.8,58.4,396.4,23,97,17,7,1,0
2015,2608,Jogulamba Gadwal,Rajoli,34.8,82.6,97.6,100.2,315.2,23,97,18,7,0,0
2015,2611,Jogulamba Gadwal,Undavelli,92.2,89.2,100.8,170.4,452.6,30,90,22,10,0,0
2015,2609,Jogulamba Gadwal,Waddepalle,34.8,82.6,97.6,100.2,315.2,23,97,18,7,0,0
2015,1507,Kamareddy,Banswada,157,91.2,153,136.8,538,26,89,20,13,0,0
2015,1517,Kamareddy,Bhiknur,72.6,71.6,139.6,173,456.8,33,87,26,9,0,0
2015,1522,Kamareddy,Bibipet,103.6,52.6,199,206.4,561.6,35,80,31,10,1,0
2015,1504,Kamareddy,Bichkunda,72.4,120.2,155.4,56.4,404.4,27,89,23,10,0,0
2015,1505,Kamareddy,Birkoor,94.8,78.8,181.2,83.8,438.6,25,97,13,11,1,0
2015,1521,Kamareddy,Domakonda,103.6,52.6,199,206.4,561.6,35,80,31,10,1,0
2015,1513,Kamareddy,Gandhari,184,31.6,147.6,159.6,522.8,31,87,23,11,1,0
2015,1502,Kamareddy,Jukkal,218.8,70,161.8,224.2,674.8,28,92,19,8,3,0
2015,1518,Kamareddy,Kamareddy,121.6,95.4,149.6,116.6,483.2,35,81,31,10,0,0
2015,1512,Kamareddy,Lingampet,158,55.6,190.2,66.2,470,39,77,36,9,0,0
2015,1520,Kamareddy,Machareddy,111,51,104.2,145.4,411.6,28,88,24,10,0,0
2015,1501,Kamareddy,Madnur,227.4,53.6,168.6,133.2,582.8,31,89,19,13,1,0
2015,1510,Kamareddy,Naga_Reddipet,193.2,59.8,205.4,107.6,566,34,79,33,10,0,0
2015,1506,Kamareddy,Nasurullabad,94.8,78.8,181.2,83.8,438.6,25,97,13,11,1,0
2015,1509,Kamareddy,Nizamsagar,115.8,108.8,154.8,118.8,498.2,34,78,34,10,0,0
2015,1503,Kamareddy,Pedda Kodapgal,72.4,120.2,155.4,56.4,404.4,27,89,23,10,0,0
2015,1508,Kamareddy,Pitlam,147.2,146.6,122.8,117.4,534,39,79,31,12,0,0
2015,1516,Kamareddy,Rajampet,72.6,71.6,139.6,173,456.8,33,87,26,9,0,0
2015,1519,Kamareddy,Ramareddy,111,51,104.2,145.4,411.6,28,88,24,10,0,0
2015,1514,Kamareddy,Sadasivanagar,131.8,54,123.8,48.4,358,27,89,26,7,0,0
2015,1515,Kamareddy,Tadwai,99.4,40.4,101.8,124,365.6,28,82,32,8,0,0
2015,1511,Kamareddy,Yellareddy,148.4,112.2,154.2,118,532.8,37,78,34,10,0,0
2015,1310,Karimnagar,Chigurumamidi,79.4,83.9,136,168.2,467.5,33,85,27,10,0,0
2015,1303,Karimnagar,Choppadandi,265.4,78.2,121.4,244.4,709.4,44,77,29,15,1,0
2015,1316,Karimnagar,Ellandakunta,273.6,113.4,230.6,171.8,789.4,38,76,31,12,3,0
2015,1301,Karimnagar,Gangadhara,152.2,100,79,259,590.2,34,81,31,9,1,0
2015,1306,Karimnagar,Gannervaram,154.8,65,137,197.2,554,36,76,35,9,2,0
2015,1314,Karimnagar,Huzurabad,265.4,78.4,104.2,193.2,641.2,38,74,36,11,1,0
2015,1315,Karimnagar,Jammikunta,273.6,113.4,230.6,171.8,789.4,38,76,31,12,3,0
2015,1307,Karimnagar,Karimnagar,222.2,116.8,221,242.4,802.4,36,79,25,16,2,0
2015,1304,Karimnagar,Karimnagar_Rural,222.2,116.8,221,242.4,802.4,36,79,25,16,2,0
2015,1305,Karimnagar,Kothapalle,222.2,116.8,221,242.4,802.4,36,79,25,16,2,0
2015,1308,Karimnagar,Manakondur,293.3,75.7,134.2,118.7,621.9,32,88,17,16,1,0
2015,1302,Karimnagar,Ramadugu,146.3,16.9,34.5,160.9,358.6,18,90,24,7,1,0
2015,1312,Karimnagar,Shankarapatnam,256.1,52.9,100,235.2,644.2,40,77,36,7,2,0
2015,1309,Karimnagar,Thimmapur,151.2,93.4,132.2,107.8,484.6,36,83,30,9,0,0
2015,1311,Karimnagar,V_Saidapur,146.6,118.4,137.6,362.5,765.1,33,84,22,14,1,1
2015,1313,Karimnagar,Veenavanka,353.6,106,178.6,210.8,849,32,86,16,19,1,0
2015,3119,Khammam,Bonakal,276.2,65.6,253.4,160.6,755.8,46,72,32,17,1,0
2015,3109,Khammam,Chinthakani,285.6,52.6,234.4,178.8,751.4,37,83,24,13,2,0
2015,3112,Khammam,Enkuru,462,130,155.8,246,993.8,42,67,29,24,2,0
2015,3113,Khammam,Kalluru,425.6,117.6,216.8,262.2,1022.2,42,78,17,25,2,0
2015,3102,Khammam,Kamepalle,423.6,109.8,245,121.4,899.8,41,78,21,21,2,0
2015,3104,Khammam,Khammam_Rural,367.6,90.4,223.8,193.4,875.2,33,76,27,19,0,0
2015,3110,Khammam,Khammam_Urban,374,100,222.8,189.2,886,39,70,34,18,0,0
2015,3111,Khammam,Konijerla,268.6,57.4,119.4,119.4,564.8,33,86,23,13,0,0
2015,3106,Khammam,Kusumanchi,273.2,41.2,159,207,680.4,41,74,35,13,0,0
2015,3120,Khammam,Madhira,259.6,115.2,173.2,62.2,610.2,33,82,25,14,1,0
2015,3108,Khammam,Mudigonda,243.2,123.6,162.8,189.4,719,46,75,33,14,0,0
2015,3107,Khammam,Nelakondapalle,237.4,56.8,50.8,93,438,28,92,20,9,1,0
2015,3114,Khammam,Penuballi,365.8,83,163,309.4,921.2,40,75,27,17,3,0
2015,3103,Khammam,Raghunadhapalem,374,100,222.8,189.2,886,39,70,34,18,0,0
2015,3115,Khammam,Sathupalle,477.2,119.8,192.8,183.8,973.6,37,71,29,20,2,0
2015,3101,Khammam,Singareni,464.8,97.6,224.2,141.8,928.4,37,84,18,18,1,1
2015,3117,Khammam,Thallada,406.6,93.4,109.4,192,801.4,40,79,27,14,2,0
2015,3105,Khammam,Thirumalayapalem,274,30.8,200.2,150.4,655.4,32,85,17,19,1,0
2015,3116,Khammam,Vemsoor,251.8,47.4,88.2,106.2,493.6,34,82,29,10,1,0
2015,3118,Khammam,Wyra,349.8,80.4,103.6,239.8,773.6,42,61,46,14,1,0
2015,3121,Khammam,Yerrupalem,336.4,97.4,204.2,210,848,37,84,22,14,2,0
